"method","abs_diff"
"equi",0.0488816283684142
"equi",0.105558006771666
"equi",0.0103093546420873
"equi",0.0934962039111712
"equi",0.0625954224018052
"equi",0.0388614836652326
"equi",0.0464992182024361
"equi",0.114230449739779
"equi",0.010752626871869
"equi",0.00441169938815346
"equi",0.0225708084996024
"equi",0.00837538081332884
"equi",0.17158456748955
"equi",0.0389114212421464
"equi",0.00431391163326153
"equi",0.107290788051548
"equi",0.186190279924658
"equi",0.0507263401878623
"equi",0.00406028107206421
"equi",0.17873433357379
"equi",0.0641683948679782
"equi",0.048457777758117
"equi",0.0482670772602095
"equi",0.00999458357637567
"equi",0.10046296065562
"equi",0.13051808643925
"equi",0.0835649819139468
"equi",0.0133978780663503
"equi",0.0124640219566274
"equi",0.0935166726270113
"equi",0.0713267835295714
"equi",0.162930016374433
"equi",0.19384831610274
"equi",0.0935593736520242
"equi",0.0209451839162465
"equi",0.054407055909425
"equi",0.0740137295923538
"equi",0.111480560127093
"equi",0.014353361560872
"equi",0.0677062304530792
"equi",0.0503086866275151
"equi",0.0523398530026089
"equi",0.0757363579109632
"equi",0.0476156568330251
"equi",0.0542734637575316
"equi",0.0889925821991409
"equi",0.0420603376167951
"equi",0.258456277952743
"equi",0.0354062659494437
"equi",0.0313387584384273
"equi",0.0590547595505243
"equi",0.0469216300689818
"equi",0.0141072459931101
"equi",0.0276685790241237
"equi",0.0534158650880582
"equi",0.107106403475107
"equi",0.128514032910311
"equi",0.162592906984844
"equi",0.00776972025351197
"equi",0.0358512775537231
"equi",0.0890111542458568
"equi",0.0860184029687129
"equi",0.181239651877521
"equi",0.0744279098623162
"equi",0.00322258762313855
"equi",0.047875753302628
"equi",0.000519530019908593
"equi",0.267858949517293
"equi",0.0910063003966185
"equi",0.0307452815925352
"equi",0.0811817552502024
"equi",0.100830304603969
"equi",0.0200646633004306
"equi",0.020411856488576
"equi",0.0909745088253919
"equi",0.0699666965449839
"equi",0.0369419842231672
"equi",0.0226544598510935
"equi",0.0180482860131826
"equi",0.0547945336954792
"equi",0.0175911555664406
"equi",0.0210187060301526
"equi",0.0210404784281182
"equi",0.0330310626780303
"equi",0.0119868378319583
"equi",0.0401473786878956
"equi",0.00738910689008594
"equi",0.104090927308939
"equi",0.0923258838654808
"equi",0.0362572883155848
"equi",0.0573124970157535
"equi",0.00897391559949733
"equi",0.152173310054966
"equi",0.00128489079839869
"equi",0.0465257391565257
"equi",0.0311623102566294
"equi",0.0616294951991758
"equi",0.118530213332889
"equi",0.0440783246025402
"equi",0.0576871744345059
"equi",0.00588581014490067
"equi",0.0128941028945073
"equi",0.0133072150496481
"equi",0.0834440306232804
"equi",0.0278500206913929
"equi",0.0740330822617982
"equi",0.0168780410829008
"equi",0.0601155305203903
"equi",0.00283105000072273
"equi",0.0328242615836488
"equi",0.0305912193830781
"equi",0.0279357309661997
"equi",0.0904532320828703
"equi",0.00406990079943816
"equi",0.0531935239989088
"equi",0.0267422095738894
"equi",0.0274330623271725
"equi",0.018137241731942
"equi",0.0197018659197414
"equi",0.0459451832303902
"equi",0.138178455212779
"equi",0.0173437742874132
"equi",0.0314020604500266
"equi",0.029422982291074
"equi",0.047920130191074
"equi",0.0614111290582512
"equi",0.0642956624787769
"equi",0.0129617050211676
"equi",0.105357343609839
"equi",0.197465297512667
"equi",0.0289078868266949
"equi",0.0359246513882802
"equi",0.156469932369282
"equi",0.0938935982080805
"equi",0.0312273855672259
"equi",0.0472249321905871
"equi",0.00826204574000264
"equi",0.0540453534048543
"equi",0.102756982591431
"equi",0.00580100297263324
"equi",0.060862856601561
"equi",0.0782120850303109
"equi",0.0476551288143754
"equi",0.117841469920452
"equi",0.0139252138259699
"equi",0.0181691983670897
"equi",0.00631304620000167
"equi",0.0391189229154102
"equi",0.00919629620914136
"equi",0.0164608722430655
"equi",0.0224821543297454
"equi",0.0463542202283056
"equi",0.00212235231677341
"equi",0.150708272361846
"equi",0.0122849322251138
